id,prodi,keberadaan ayah,keberadaan ibu,pekerjaan ayah,pekerjaan ibu,jumlah tanggungan,penghasilan ayah,penghasilan ibu,kepemilikan rumah,iuran sekolah,kendaraan,listrik,pajak mobil,pajak motor,ukt
2115,Ilmu Hukum,1.0,1,Wiraswasta,Tidak Bekerja,2,6000000,0,4,290000,3,3,0.0,248800,7
4078,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Buruh,Tidak Bekerja,6,1500000,0,1,50000,3,1,0.0,224000,2
4714,Agribisnis,1.0,1,Petani,Petani,1,0,2000000,2,0,1,1,0.0,0,4
3808,Teknik Informatika,1.0,1,Karyawan Swasta,Tidak Bekerja,6,3171382,0,3,20000,3,3,0.0,125000,3
2571,Teknologi Hasil Pertanian,1.0,1,Karyawan Swasta,Tidak Bekerja,4,10000000,0,4,480000,3,2,0.0,220000,6
4498,"Pendidikan Bahasa, Sastra Indonesia & Daerah",1.0,1,Petani,Petani,6,1000000,1000000,2,17000,1,1,0.0,0,1
2863,Teknologi Hasil Perikanan,1.0,1,PNS / TNI / Polri,Tidak Bekerja,5,5787300,0,3,20000,3,2,0.0,0,6
4909,Budidaya Perairan,1.0,1,Petani,Petani,3,500000,500000,2,550000,1,2,0.0,0,2
3570,Biologi,0.0,1,Sudah Meninggal,PNS / TNI / Polri,2,0,4871324,4,35000,1,2,0.0,0,6
2129,Ilmu Hukum,1.0,1,Petani,Wirausaha,2,2000000,1000000,1,500000,3,1,0.0,0,6
3078,Agroekoteknologi,1.0,1,Wiraswasta,Tidak Bekerja,5,3500000,0,2,0,3,2,0.0,180000,4
3443,Proteksi Tanaman,1.0,1,Karyawan Swasta,Tidak Bekerja,4,4000000,0,4,0,3,3,0.0,350000,6
3326,Pendidikan Dokter,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,1,5402150,4423900,4,900000,6,2,2000000.0,200000,6
3620,Biologi,1.0,1,Wiraswasta,Tidak Bekerja,3,5000000,0,4,0,4,2,0.0,180000,6
1386,Manajemen,1.0,1,Petani,Tidak Bekerja,1,15000000,0,7,1025000,7,3,4000000.0,350000,8
1568,Ekonomi Pembangunan,1.0,1,Wiraswasta,Tidak Bekerja,3,10000000,0,2,750000,3,2,0.0,714010,8
4687,Ilmu Kelautan,1.0,1,Lainnya,Tidak Bekerja,3,4000000,0,1,90000,3,1,0.0,200000,3
1701,Sosiologi,1.0,1,Karyawan Swasta,Tidak Bekerja,5,2500000,0,3,0,3,3,0.0,150000,3
3678,Sistem Informasi,1.0,1,Tidak Bekerja,Buruh,3,0,1500000,1,0,1,2,0.0,0,2
2958,Teknik Geologi,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,3,7000000,3250000,7,0,6,2,1800000.0,250000,7
4098,Pendidikan Masyarakat,1.0,1,Lainnya,Tidak Bekerja,5,6000000,0,3,0,3,2,0.0,145000,4
2501,Gizi,1.0,1,Karyawan Swasta,Tidak Bekerja,3,18000000,0,8,350000,7,3,3000000.0,300000,8
2167,Ilmu Hukum,0.0,1,Karyawan Swasta,Tidak Bekerja,4,5000000,0,5,500000,3,3,0.0,200000,7
3674,Sistem Informasi,1.0,1,Karyawan Swasta,Tidak Bekerja,4,2400000,0,1,0,3,4,0.0,186000,3
2310,Fisika,1.0,1,Karyawan Swasta,Tidak Bekerja,4,4500000,0,4,1425000,4,2,1700000.0,300000,7
1406,Sosiologi,1.0,1,Karyawan Swasta,Tidak Bekerja,5,6000000,500000,3,100000,4,3,0.0,3500000,7
4866,Ekonomi Pembangunan,1.0,1,Buruh,Tidak Bekerja,2,5000000,0,1,135000,3,3,0.0,252500,4
2172,Ilmu Hukum,1.0,1,Pensiunan,Tidak Bekerja,4,3665258,0,1,100000,3,2,0.0,150000,5
2964,Teknik Geologi,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,6,8296826,6907273,5,140000,6,3,568300.0,161000,7
3664,Farmasi,0.0,1,Sudah Meninggal,Wiraswasta,3,0,7000000,8,830000,8,4,3000000.0,0,8
3320,Agronomi,1.0,1,Karyawan Swasta,Tidak Bekerja,4,9000000,0,4,350000,3,3,0.0,180000,6
2417,Ilmu Kesehatan Masyarakat,1.0,1,Karyawan Swasta,Tidak Bekerja,3,7350000,0,5,135000,4,4,1800000.0,431700,8
1715,Teknik Sipil,1.0,1,Pedagang Kecil,Tidak Bekerja,3,6000000,0,6,350000,5,3,0.0,455000,7
2407,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Wiraswasta,Wiraswasta,5,4000000,1000000,4,120000,4,4,0.0,26000,6
1839,Teknik Kimia,1.0,1,Pedagang Kecil,Tidak Bekerja,5,4000000,0,3,135000,3,4,0.0,250000,4
2408,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Karyawan Swasta,Lainnya,5,15000000,5000000,8,830000,6,5,1900000.0,0,8
4311,Agribisnis,1.0,1,Tidak Bekerja,Wirausaha,1,0,2500000,5,135000,3,4,0.0,379300,4
1259,Ilmu Komunikasi,1.0,1,PNS / TNI / Polri,Tidak Bekerja,3,3769600,0,4,100000,1,2,0.0,0,6
1842,Teknik Kimia,1.0,1,PNS / TNI / Polri,Tidak Bekerja,4,5000000,0,5,0,4,3,0.0,275000,6
3029,Pendidikan Dokter Gigi,1.0,1,Wiraswasta,PNS / TNI / Polri,4,2000000,5767960,7,0,6,2,1788900.0,327400,6
4094,Arsitektur,1.0,1,Lainnya,Pedagang Kecil,5,2000000,1500000,1,90000,4,2,0.0,500000,2
2572,Teknologi Hasil Pertanian,1.0,1,Lainnya,Pedagang Kecil,4,1000000,1000000,1,80000,3,2,0.0,155100,3
2573,Teknologi Hasil Pertanian,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,4,4126400,3391000,1,133000,3,2,0.0,284600,6
4990,Kesehatan Lingkungan,0.0,1,Sudah Meninggal,Lainnya,3,0,500000,2,70000,1,2,0.0,0,1
4630,Kimia,1.0,1,Pedagang Kecil,Tidak Bekerja,5,1000000,0,1,75000,1,2,0.0,0,1
4096,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Buruh,Tidak Bekerja,4,800000,0,4,150000,4,2,0.0,360000,2
4096,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Buruh,Tidak Bekerja,4,800000,0,4,150000,4,2,0.0,360000,2
3888,Teknik Informatika,1.0,1,Wiraswasta,PNS / TNI / Polri,6,1000000,4875200,4,150000,3,2,0.0,150000,6
4329,Pendidikan Kimia,1.0,1,Petani,Tidak Bekerja,3,2000000,0,3,125000,4,2,0.0,242900,3
2409,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Lainnya,Tidak Bekerja,6,30000000,0,7,1500000,7,3,4000000.0,0,8
2174,Ilmu Hukum,1.0,1,Pensiunan,Pensiunan,4,4559600,3644800,7,150000,6,3,2724450.0,400900,8
3826,Sistem Informasi,1.0,1,Lainnya,Karyawan Swasta,2,2700000,3700000,3,30000,3,2,0.0,225000,6
2702,Pendidikan Guru Sekolah Dasar (PGSD),1.0,1,Lainnya,Pedagang Kecil,4,1000000,2000000,4,0,3,2,0.0,314,3
2833,Arsitektur,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,7,4584600,5501600,7,200000,4,2,0.0,600000,6
2502,Gizi,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,4,4851900,4020400,5,1740000,4,2,4000000.0,350000,7
1260,Ilmu Komunikasi,0.0,1,Sudah Meninggal,PNS / TNI / Polri,5,0,4200000,1,1140000,4,2,0.0,600000,6
1266,Ilmu Komunikasi,1.0,1,Wiraswasta,Tidak Bekerja,2,2500000,0,5,0,4,2,0.0,75000,6
1637,Ilmu Administrasi Publik,1.0,1,Wiraswasta,Tidak Bekerja,3,6500000,0,5,0,3,3,0.0,180000,7
3409,Agronomi,1.0,1,Wiraswasta,Tidak Bekerja,5,6000000,0,5,1440000,4,2,0.0,250000,6
2412,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Wirausaha,Tidak Bekerja,4,6000000,0,1,175000,7,3,3000000.0,250000,7
2177,Ilmu Hukum,1.0,1,PNS / TNI / Polri,Tidak Bekerja,2,9038900,0,4,40000,3,3,0.0,215000,7
1853,Teknik Kimia,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,6,5000000,6000000,6,25000,4,2,0.0,250000,6
2103,Agribisnis,1.0,1,Karyawan Swasta,Karyawan Swasta,3,3100000,3100000,1,80000,4,1,0.0,0,6
3740,Farmasi,1.0,1,Pedagang Kecil,Tidak Bekerja,5,5000000,0,8,0,6,4,1937000.0,0,7
4536,Ilmu Tanah,1.0,1,Petani,Tidak Bekerja,6,1500000,0,1,0,3,2,0.0,0,1
1578,Ekonomi Pembangunan,1.0,1,Wiraswasta,Pedagang Kecil,3,6000000,3000000,4,50000,4,3,0.0,1300000,8
3087,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Karyawan Swasta,Karyawan Swasta,5,5061327,9489345,7,0,6,3,1748300.0,300000,8
3660,Ilmu Kelautan,1.0,1,Petani,Tidak Bekerja,3,7500000,0,4,450000,3,4,0.0,150000,7
4838,Sosiologi,0.0,1,Tidak Bekerja,Pedagang Kecil,3,0,500000,2,0,3,4,0.0,100000,2
1277,Ilmu Komunikasi,1.0,1,Karyawan Swasta,Pensiunan,4,2250000,3000000,4,0,4,2,2000000.0,400000,7
1236,Akuntansi,1.0,1,Karyawan Swasta,Tidak Bekerja,3,6938500,0,7,25000,3,3,1500000.0,200000,8
4563,Teknik Kimia,1.0,1,Lainnya,Tidak Bekerja,5,2100000,0,1,45000,3,2,0.0,168000,1
2020,Matematika,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,5,4525200,4054800,7,0,7,4,2678800.0,185000,8
2978,Teknik Geologi,1.0,1,Pensiunan,Tidak Bekerja,5,1500000,0,5,0,4,3,0.0,400000,3
3932,Teknik Informatika,1.0,1,Pedagang Kecil,Tidak Bekerja,6,10000000,0,7,30000,7,3,3000000.0,700000,8
3681,Sistem Informasi,1.0,1,Petani,Lainnya,3,6000000,5000000,5,0,6,5,2600000.0,250000,8
1977,Teknik Elektro,1.0,1,Lainnya,Tidak Bekerja,4,20000000,0,7,0,6,4,2033000.0,437400,8
1391,Manajemen,1.0,1,Karyawan Swasta,Tidak Bekerja,2,5000000,0,1,550000,3,4,0.0,206000,7
3088,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Lainnya,Tidak Bekerja,3,2068000,0,1,300000,3,5,0.0,300000,4
1645,Ilmu Administrasi Publik,1.0,1,Wirausaha,Lainnya,3,5000000,0,8,75000,4,4,335000.0,600000,7
2108,Agribisnis,1.0,1,Petani,Karyawan Swasta,2,500000,3500000,1,0,3,4,0.0,166000,6
3939,Teknik Informatika,1.0,1,PNS / TNI / Polri,Tidak Bekerja,5,4500000,0,7,0,6,3,3000000.0,1500000,7
1392,Manajemen,1.0,1,Karyawan Swasta,Tidak Bekerja,5,7841879,0,8,88500,6,4,2800000.0,280000,8
2178,Ilmu Hukum,1.0,0,Buruh,Tidak Bekerja,2,2500000,0,5,0,4,2,0.0,200000,6
1279,Ilmu Komunikasi,1.0,1,Karyawan Swasta,Karyawan Swasta,3,5646998,3129407,7,0,7,3,2500000.0,148000,8
1562,Teknik Mesin,1.0,1,Lainnya,Tidak Bekerja,3,22000000,0,7,75000,8,4,6000000.0,350000,8
4548,Matematika,1.0,1,Buruh,Tidak Bekerja,3,2750000,0,3,0,3,3,0.0,180000,3
1580,Ekonomi Pembangunan,1.0,1,Pensiunan,PNS / TNI / Polri,5,2452300,3455383,7,0,3,3,0.0,2500000,7
2185,Ilmu Hukum,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,5,10461845,10000000,8,860000,6,4,1900000.0,200000,8
1393,Manajemen,1.0,1,PNS / TNI / Polri,Wiraswasta,2,4436000,500000,4,400000,6,2,850000.0,190000,7
3661,Ilmu Kelautan,1.0,1,Wiraswasta,Tidak Bekerja,5,1800000,0,3,100000,3,1,0.0,150000,3
1958,Pendidikan Sejarah,1.0,1,Petani,Tidak Bekerja,4,1000000,0,4,0,3,1,0.0,250000,3
2135,Agribisnis,1.0,1,Wiraswasta,Tidak Bekerja,5,5000000,0,3,0,3,2,1447000.0,430000,6
2422,Ilmu Kesehatan Masyarakat,1.0,1,PNS / TNI / Polri,Tidak Bekerja,5,5500000,0,7,0,3,2,0.0,190000,6
4667,Teknik Geologi,1.0,1,Petani,Tidak Bekerja,4,1000000,0,3,20000,3,1,0.0,292000,2
1394,Manajemen,1.0,1,Wiraswasta,Tidak Bekerja,3,4000000,0,4,475000,3,2,0.0,235000,7
1394,Manajemen,1.0,1,Wiraswasta,Tidak Bekerja,3,4000000,0,4,475000,3,2,0.0,235000,7
3139,Teknik Pertambangan,1.0,1,PNS / TNI / Polri,Wiraswasta,5,4000000,500000,3,0,6,2,0.0,0,5
4619,Pendidikan Guru Sekolah Dasar (PGSD),1.0,1,Pedagang Kecil,Tidak Bekerja,5,900000,0,3,0,3,1,0.0,0,2
1676,Ilmu Administrasi Publik,1.0,1,Wiraswasta,PNS / TNI / Polri,3,3000000,4378100,4,300000,3,2,1601000.0,248000,7
2188,Ilmu Hukum,1.0,1,Wiraswasta,Lainnya,2,3000000,0,3,995000,4,2,0.0,200000,7
4553,Pendidikan Bahasa Inggris,1.0,1,Buruh,Tidak Bekerja,3,1000000,0,1,30000,3,1,0.0,0,1
1979,Teknik Elektro,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,5,4000000,5000000,5,0,3,3,750000.0,169000,6
3444,Proteksi Tanaman,1.0,1,Petani,Pedagang Kecil,5,3000000,1500000,4,1100000,4,2,0.0,350000,5
4201,Pendidikan Ekonomi,1.0,1,Petani,Petani,2,1500000,200000,2,0,4,1,0.0,0,3
4915,Budidaya Perairan,1.0,1,Pedagang Kecil,Tidak Bekerja,5,1500000,0,2,0,3,1,0.0,200000,2
2142,Agribisnis,1.0,1,Wiraswasta,Tidak Bekerja,6,4765800,0,4,550000,4,2,0.0,255000,5
2094,Pendidikan Bahasa Inggris,0.0,1,Sudah Meninggal,PNS / TNI / Polri,4,0,4415300,4,125000,3,3,0.0,200000,6
3146,Teknik Pertambangan,1.0,1,Pensiunan,PNS / TNI / Polri,4,4000000,4000000,5,1750000,4,2,0.0,170000,7
2189,Ilmu Hukum,1.0,1,Wiraswasta,PNS / TNI / Polri,4,6000000,6000000,5,1200000,6,4,2500000.0,120000,8
3123,ILMU HUBUNGAN INTERNASIONAL,0.0,1,Sudah Meninggal,Pedagang Kecil,4,0,1500000,3,300000,3,2,0.0,176000,3
3706,Pendidikan Matematika,1.0,1,Wiraswasta,Wiraswasta,5,5000000,5000000,6,800000,7,2,2500000.0,500000,8
3663,Ilmu Kelautan,1.0,1,Buruh,Tidak Bekerja,4,1900000,0,1,150000,3,2,0.0,130000,3
2644,Teknik Pertanian,1.0,1,Karyawan Swasta,Tidak Bekerja,6,3380000,0,3,0,3,2,0.0,200000,4
4971,Sistem Informasi,1.0,1,Tidak Bekerja,Pedagang Kecil,4,0,1000000,1,100000,3,2,0.0,100000,2
2649,Teknik Pertanian,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,6,7307300,3437700,7,0,6,1,2500000.0,500000,7
2423,Ilmu Kesehatan Masyarakat,1.0,1,Wiraswasta,Tidak Bekerja,4,4500000,0,4,800000,3,3,0.0,250000,7
1569,Teknik Mesin,1.0,1,Pedagang Kecil,Tidak Bekerja,7,3000000,0,4,0,6,2,2500000.0,160000,4
1994,Manajemen,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,5,6000000,6000000,7,100000,6,3,700000.0,400000,8
4169,Pendidikan Ekonomi,1.0,1,Buruh,Tidak Bekerja,3,2000000,0,1,275000,3,2,0.0,363000,3
1301,Ilmu Komunikasi,1.0,1,PNS / TNI / Polri,Tidak Bekerja,4,6178600,0,3,415000,3,2,0.0,250000,7
2191,Ilmu Hukum,1.0,1,Wiraswasta,Tidak Bekerja,3,2500000,0,5,100000,4,3,0.0,0,5
2192,Ilmu Hukum,1.0,1,Karyawan Swasta,PNS / TNI / Polri,6,3500000,4000000,5,600000,4,3,0.0,250000,7
1693,Ilmu Administrasi Publik,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,5,7220600,3423900,6,285000,3,2,0.0,250000,8
1239,Akuntansi,0.0,1,Sudah Meninggal,PNS / TNI / Polri,4,0,3975400,4,0,3,2,0.0,0,6
1981,Teknik Elektro,1.0,1,Lainnya,Tidak Bekerja,6,16000000,0,8,450000,3,4,2800000.0,280000,8
1305,Ilmu Komunikasi,1.0,1,Pensiunan,Tidak Bekerja,3,4000000,0,5,300000,3,2,0.0,160000,6
1307,Ilmu Komunikasi,1.0,1,Lainnya,Tidak Bekerja,4,9800000,0,7,200000,7,3,2504250.0,183500,8
4911,Manajemen,1.0,1,Tidak Bekerja,Buruh,2,0,1200000,1,100000,1,2,0.0,0,1
4545,Ilmu Tanah,1.0,1,Petani,Tidak Bekerja,5,1000000,0,2,0,3,2,0.0,0,2
2144,Agribisnis,1.0,1,Pensiunan,PNS / TNI / Polri,1,0,5147800,7,0,3,3,2200000.0,300000,6
2231,Agribisnis,1.0,1,Wiraswasta,Tidak Bekerja,5,2500000,0,2,0,4,2,0.0,0,3
3798,Sistem Komputer,1.0,1,Tidak Bekerja,PNS / TNI / Polri,5,0,3729700,5,450000,3,4,0.0,210500,3
4349,Pendidikan Matematika,1.0,1,Buruh,Lainnya,5,1500000,1220000,1,100000,4,2,0.0,377000,2
1861,Teknik Kimia,1.0,1,Tidak Bekerja,PNS / TNI / Polri,2,0,6441900,5,300000,6,3,1800000.0,530000,7
1211,Pendidikan Biologi,1.0,1,PNS / TNI / Polri,Tidak Bekerja,2,4000000,0,4,150,4,3,0.0,125,6
2233,Agribisnis,1.0,1,Karyawan Swasta,Tidak Bekerja,3,9800000,0,1,0,3,1,0.0,165000,6
1863,Teknik Kimia,1.0,1,Wiraswasta,Tidak Bekerja,3,15000000,0,7,995000,6,4,1600000.0,0,8
2869,Teknologi Hasil Perikanan,1.0,1,Pensiunan,PNS / TNI / Polri,5,3645200,3483800,7,7400000,4,2,0.0,144500,7
4595,Fisika,1.0,1,Buruh,Tidak Bekerja,6,3000000,0,3,75000,4,2,0.0,160000,3
3981,Farmasi,1.0,1,Karyawan Swasta,PNS / TNI / Polri,6,8000000,3560000,7,0,6,3,1850000.0,200000,8
2692,Pendidikan Guru Sekolah Dasar (PGSD),1.0,1,Wiraswasta,PNS / TNI / Polri,3,4800000,5103900,7,300000,4,3,4000000.0,250000,8
3972,Teknik Informatika,1.0,1,PNS / TNI / Polri,Lainnya,4,4459100,0,4,100000,4,2,0.0,550000,6
2656,Bimbingan dan Konseling,1.0,1,Lainnya,Lainnya,5,750000,2900000,3,0,3,2,0.0,198000,4
1970,Pendidikan Sejarah,1.0,1,Karyawan Swasta,Tidak Bekerja,5,4265325,0,3,330000,4,2,0.0,180000,5
2575,Teknologi Hasil Pertanian,1.0,1,Petani,Tidak Bekerja,5,5000000,0,4,400000,3,2,2500000.0,250000,6
1414,Sosiologi,1.0,1,Lainnya,Tidak Bekerja,1,3000000,0,1,100,3,2,0.0,234,6
3978,Teknik Informatika,1.0,0,PNS / TNI / Polri,Sudah Meninggal,4,12945800,0,4,995000,6,4,1900000.0,80000,8
1180,Pendidikan Matematika,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,3,5450500,3945700,4,185000,4,2,0.0,255000,8
1180,Pendidikan Matematika,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,3,5450500,3945700,4,185000,4,2,0.0,255000,8
3984,Farmasi,1.0,1,Wiraswasta,PNS / TNI / Polri,4,1000000,5000000,4,0,3,2,0.0,250000,5
1323,Ilmu Komunikasi,1.0,1,Petani,Petani,4,750000,750000,1,100000,3,2,0.0,0,3
1324,Ilmu Komunikasi,1.0,1,Petani,Tidak Bekerja,3,1300000,0,2,0,3,2,0.0,147500,2
2021,Pendidikan Ekonomi,1.0,1,PNS / TNI / Polri,Lainnya,6,4791900,1000000,4,150000,6,2,2430000.0,354500,7
1581,Ekonomi Pembangunan,1.0,1,Karyawan Swasta,PNS / TNI / Polri,4,4469476,5450600,7,150000,6,3,1000000.0,0,8
3155,Teknik Pertambangan,1.0,1,PNS / TNI / Polri,Lainnya,5,5040600,2500000,5,0,6,3,2501000.0,326000,8
1696,Ilmu Administrasi Publik,1.0,1,Lainnya,Tidak Bekerja,3,30000000,0,7,200000,5,4,5000000.0,850000,8
3160,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Karyawan Swasta,Tidak Bekerja,3,5500000,0,3,450000,4,3,0.0,400000,7
2195,Ilmu Hukum,1.0,1,Pedagang Kecil,PNS / TNI / Polri,2,3000000,4600000,7,450000,7,3,2000000.0,200000,8
4651,Arsitektur,1.0,1,Wiraswasta,Tidak Bekerja,4,1500000,0,1,0,3,2,0.0,180000,1
2870,Teknologi Hasil Perikanan,1.0,1,PNS / TNI / Polri,Tidak Bekerja,2,12332710,0,7,83000,6,3,1200000.0,223000,7
2197,Ilmu Hukum,1.0,1,PNS / TNI / Polri,Tidak Bekerja,5,5000000,0,3,980000,3,2,0.0,200000,7
